XY
	CURVE (1mkcl-5mmolar18btmapaq-nitrogen-rde-1200mvpers-50mvpers.DTA)
4.614e-001	3.091e-006
4.614e-001	3.015e-006
4.613e-001	3.096e-006
4.612e-001	3.063e-006
4.609e-001	2.933e-006
4.609e-001	2.968e-006
4.608e-001	3.130e-006
4.607e-001	3.000e-006
4.607e-001	3.100e-006
4.606e-001	3.034e-006
4.605e-001	2.941e-006
4.604e-001	3.033e-006
4.603e-001	3.153e-006
4.601e-001	2.991e-006
4.600e-001	3.135e-006
4.599e-001	3.105e-006
4.599e-001	2.947e-006
4.598e-001	2.978e-006
4.598e-001	3.020e-006
4.597e-001	3.028e-006
4.593e-001	3.005e-006
4.592e-001	3.144e-006
4.592e-001	3.068e-006
4.591e-001	3.042e-006
4.590e-001	2.884e-006
4.590e-001	2.850e-006
4.589e-001	3.069e-006
4.588e-001	2.947e-006
4.587e-001	2.927e-006
4.585e-001	2.910e-006
4.584e-001	3.030e-006
4.583e-001	3.077e-006
4.583e-001	3.040e-006
4.582e-001	2.960e-006
4.582e-001	3.042e-006
4.580e-001	2.955e-006
4.578e-001	2.958e-006
4.577e-001	3.063e-006
4.576e-001	3.061e-006
4.575e-001	2.803e-006
4.575e-001	2.815e-006
4.574e-001	3.049e-006
4.572e-001	2.908e-006
4.572e-001	2.956e-006
4.570e-001	2.901e-006
4.569e-001	3.028e-006
4.568e-001	2.997e-006
4.567e-001	2.872e-006
4.567e-001	2.688e-006
4.566e-001	2.819e-006
4.566e-001	3.093e-006
4.564e-001	2.893e-006
4.562e-001	2.833e-006
4.561e-001	2.803e-006
4.560e-001	2.814e-006
4.559e-001	2.983e-006
4.559e-001	2.890e-006
4.558e-001	2.743e-006
4.557e-001	2.700e-006
4.556e-001	3.059e-006
4.555e-001	2.785e-006
4.553e-001	2.846e-006
4.553e-001	2.868e-006
4.551e-001	2.903e-006
4.551e-001	2.892e-006
4.550e-001	2.859e-006
4.549e-001	2.860e-006
4.547e-001	2.903e-006
4.545e-001	2.809e-006
4.545e-001	2.786e-006
4.544e-001	2.781e-006
4.543e-001	2.819e-006
4.542e-001	2.835e-006
4.541e-001	2.738e-006
4.541e-001	2.817e-006
4.540e-001	2.865e-006
4.538e-001	2.852e-006
4.537e-001	2.626e-006
4.536e-001	2.835e-006
4.535e-001	2.718e-006
4.534e-001	2.670e-006
4.533e-001	2.744e-006
4.533e-001	2.778e-006
4.531e-001	2.883e-006
4.529e-001	2.690e-006
4.528e-001	2.836e-006
4.528e-001	2.685e-006
4.527e-001	2.680e-006
4.525e-001	2.676e-006
4.525e-001	2.604e-006
4.523e-001	2.774e-006
4.524e-001	2.728e-006
4.522e-001	2.734e-006
4.521e-001	2.685e-006
4.520e-001	2.665e-006
4.519e-001	2.760e-006
4.518e-001	2.855e-006
4.518e-001	2.689e-006
4.518e-001	2.724e-006
4.516e-001	2.649e-006
4.514e-001	2.694e-006
4.513e-001	2.687e-006
4.512e-001	2.758e-006
