XY
	CURVE (1mkcl-5mmolar15btmapaq-nitrogen-rde1200mvpers-50mvpers.DTA)
4.399e-001	7.673e-007
4.398e-001	6.373e-007
4.398e-001	9.236e-007
4.398e-001	9.006e-007
4.396e-001	8.540e-007
4.395e-001	9.123e-007
4.393e-001	7.869e-007
4.392e-001	8.106e-007
4.391e-001	7.836e-007
4.390e-001	8.281e-007
4.390e-001	7.594e-007
4.390e-001	7.948e-007
4.389e-001	7.906e-007
4.387e-001	7.744e-007
4.386e-001	7.677e-007
4.384e-001	7.994e-007
4.383e-001	8.298e-007
4.382e-001	8.181e-007
4.382e-001	7.723e-007
4.382e-001	7.502e-007
4.380e-001	7.756e-007
4.379e-001	7.956e-007
4.377e-001	8.102e-007
4.376e-001	8.006e-007
4.375e-001	9.106e-007
4.374e-001	7.527e-007
4.374e-001	8.827e-007
4.374e-001	7.706e-007
4.373e-001	7.511e-007
4.371e-001	6.765e-007
4.369e-001	7.244e-007
4.368e-001	7.498e-007
4.367e-001	8.081e-007
4.366e-001	8.765e-007
4.366e-001	8.823e-007
4.366e-001	7.398e-007
4.365e-001	7.556e-007
4.363e-001	7.606e-007
4.361e-001	6.607e-007
4.360e-001	7.506e-007
4.359e-001	8.086e-007
4.358e-001	7.611e-007
4.358e-001	7.232e-007
4.358e-001	7.098e-007
4.358e-001	6.711e-007
4.356e-001	6.865e-007
4.353e-001	7.248e-007
4.352e-001	7.015e-007
4.352e-001	7.869e-007
4.351e-001	8.398e-007
4.350e-001	8.277e-007
4.350e-001	6.744e-007
4.349e-001	8.265e-007
4.348e-001	7.398e-007
4.347e-001	6.919e-007
4.344e-001	7.057e-007
4.343e-001	6.923e-007
4.342e-001	6.998e-007
4.342e-001	6.632e-007
4.342e-001	8.423e-007
4.341e-001	7.482e-007
4.340e-001	8.552e-007
4.337e-001	7.569e-007
4.336e-001	7.090e-007
4.335e-001	8.615e-007
4.334e-001	7.169e-007
4.334e-001	7.906e-007
4.334e-001	8.169e-007
4.333e-001	5.777e-007
4.332e-001	7.240e-007
4.330e-001	7.152e-007
4.329e-001	7.269e-007
4.328e-001	8.411e-007
4.327e-001	7.386e-007
4.326e-001	7.794e-007
4.326e-001	7.169e-007
4.326e-001	6.398e-007
4.323e-001	6.723e-007
4.321e-001	7.648e-007
4.320e-001	7.340e-007
4.319e-001	6.444e-007
4.319e-001	6.048e-007
4.318e-001	7.631e-007
4.318e-001	7.302e-007
4.317e-001	8.027e-007
4.316e-001	6.773e-007
4.315e-001	7.686e-007
4.313e-001	6.244e-007
4.312e-001	7.327e-007
4.310e-001	7.594e-007
4.310e-001	7.440e-007
4.310e-001	7.173e-007
4.310e-001	6.844e-007
4.308e-001	6.240e-007
4.305e-001	6.544e-007
4.304e-001	6.223e-007
4.303e-001	7.077e-007
4.302e-001	7.731e-007
4.302e-001	7.840e-007
4.302e-001	7.048e-007
4.301e-001	6.727e-007
4.300e-001	6.048e-007
4.299e-001	7.623e-007
4.296e-001	6.373e-007
4.295e-001	7.107e-007
4.295e-001	6.340e-007
4.294e-001	6.698e-007
4.294e-001	7.257e-007
4.294e-001	7.973e-007
4.291e-001	7.411e-007
4.288e-001	7.652e-007
4.288e-001	6.673e-007
4.288e-001	6.661e-007
4.287e-001	6.682e-007
4.286e-001	8.181e-007
4.286e-001	6.398e-007
4.285e-001	7.144e-007
4.285e-001	6.536e-007
4.282e-001	5.832e-007
4.280e-001	7.169e-007
4.280e-001	7.069e-007
4.279e-001	6.627e-007
4.278e-001	6.848e-007
4.278e-001	7.273e-007
4.277e-001	6.794e-007
4.275e-001	7.032e-007
4.273e-001	6.652e-007
4.272e-001	7.315e-007
4.272e-001	6.644e-007
4.271e-001	6.523e-007
4.271e-001	6.148e-007
4.269e-001	5.486e-007
4.269e-001	6.315e-007
4.268e-001	6.819e-007
4.267e-001	7.186e-007
4.264e-001	5.715e-007
4.264e-001	7.040e-007
4.263e-001	5.069e-007
4.263e-001	5.669e-007
4.262e-001	6.840e-007
4.261e-001	6.144e-007
4.258e-001	5.786e-007
4.256e-001	5.811e-007
4.256e-001	6.557e-007
4.256e-001	6.240e-007
4.255e-001	6.177e-007
4.254e-001	6.432e-007
4.254e-001	5.957e-007
4.254e-001	7.594e-007
4.252e-001	6.302e-007
4.250e-001	6.369e-007
4.249e-001	5.773e-007
4.247e-001	7.119e-007
4.247e-001	6.315e-007
4.246e-001	6.636e-007
4.246e-001	6.586e-007
4.245e-001	6.052e-007
4.242e-001	6.582e-007
4.241e-001	5.944e-007
4.240e-001	6.248e-007
4.239e-001	5.807e-007
4.239e-001	5.932e-007
4.238e-001	6.398e-007
4.238e-001	5.957e-007
4.238e-001	6.777e-007
4.237e-001	5.898e-007
4.234e-001	6.257e-007
4.233e-001	4.636e-007
4.232e-001	6.457e-007
4.231e-001	6.323e-007
4.230e-001	5.940e-007
4.230e-001	5.515e-007
4.230e-001	6.211e-007
4.228e-001	6.644e-007
4.225e-001	5.927e-007
4.224e-001	5.807e-007
4.223e-001	5.557e-007
4.222e-001	5.082e-007
4.221e-001	5.373e-007
4.220e-001	5.977e-007
4.220e-001	4.240e-007
4.218e-001	6.261e-007
4.217e-001	6.282e-007
4.216e-001	5.911e-007
4.215e-001	6.152e-007
4.214e-001	6.098e-007
4.213e-001	6.211e-007
4.213e-001	6.090e-007
4.211e-001	5.557e-007
4.210e-001	5.515e-007
4.209e-001	5.923e-007
4.208e-001	6.002e-007
4.208e-001	5.827e-007
4.206e-001	5.894e-007
4.205e-001	5.178e-007
4.204e-001	5.727e-007
4.204e-001	5.873e-007
4.203e-001	6.394e-007
4.201e-001	5.140e-007
4.200e-001	5.569e-007
4.199e-001	5.702e-007
4.198e-001	4.503e-007
4.198e-001	5.269e-007
4.197e-001	6.294e-007
4.196e-001	6.273e-007
4.194e-001	5.069e-007
4.193e-001	6.390e-007
4.192e-001	5.923e-007
4.191e-001	6.090e-007
4.190e-001	6.544e-007
4.190e-001	4.673e-007
4.188e-001	4.878e-007
4.188e-001	6.073e-007
4.187e-001	4.861e-007
4.185e-001	5.790e-007
4.184e-001	5.332e-007
4.183e-001	5.336e-007
4.183e-001	4.736e-007
4.182e-001	5.677e-007
4.181e-001	5.415e-007
4.180e-001	5.786e-007
4.178e-001	5.865e-007
4.177e-001	5.373e-007
4.176e-001	5.273e-007
4.175e-001	6.365e-007
4.174e-001	5.303e-007
4.174e-001	4.773e-007
4.173e-001	5.486e-007
4.172e-001	4.569e-007
4.170e-001	5.627e-007
4.169e-001	4.732e-007
4.169e-001	6.494e-007
4.167e-001	5.019e-007
4.166e-001	5.140e-007
4.166e-001	5.727e-007
4.165e-001	4.665e-007
4.164e-001	6.515e-007
4.162e-001	5.369e-007
4.161e-001	5.644e-007
4.160e-001	6.394e-007
4.159e-001	5.003e-007
4.159e-001	4.903e-007
4.158e-001	5.469e-007
4.157e-001	4.128e-007
4.156e-001	4.753e-007
4.155e-001	5.278e-007
4.153e-001	4.207e-007
4.152e-001	5.502e-007
4.151e-001	4.369e-007
4.150e-001	5.311e-007
4.150e-001	5.590e-007
4.150e-001	4.728e-007
4.148e-001	4.644e-007
4.147e-001	4.990e-007
4.145e-001	4.261e-007
4.144e-001	5.153e-007
4.143e-001	4.786e-007
4.142e-001	5.898e-007
4.142e-001	4.057e-007
4.142e-001	5.890e-007
4.140e-001	4.936e-007
4.139e-001	5.411e-007
4.137e-001	4.944e-007
4.136e-001	5.015e-007
4.135e-001	4.611e-007
4.134e-001	5.057e-007
4.134e-001	4.178e-007
4.134e-001	5.486e-007
4.132e-001	5.348e-007
4.131e-001	4.890e-007
4.129e-001	4.644e-007
4.128e-001	5.865e-007
4.127e-001	5.078e-007
4.126e-001	5.157e-007
4.126e-001	4.440e-007
4.125e-001	5.161e-007
4.124e-001	5.219e-007
4.123e-001	4.778e-007
4.122e-001	5.357e-007
4.120e-001	4.957e-007
4.119e-001	5.286e-007
4.119e-001	6.086e-007
4.118e-001	4.323e-007
4.118e-001	5.303e-007
4.117e-001	5.207e-007
4.115e-001	5.473e-007
4.113e-001	4.994e-007
4.112e-001	5.573e-007
4.112e-001	4.507e-007
4.111e-001	4.669e-007
4.110e-001	4.661e-007
4.110e-001	4.511e-007
4.109e-001	4.632e-007
4.107e-001	4.819e-007
4.105e-001	4.382e-007
4.104e-001	5.273e-007
4.104e-001	5.186e-007
4.103e-001	4.415e-007
4.102e-001	4.898e-007
4.102e-001	5.161e-007
4.101e-001	5.115e-007
4.099e-001	4.265e-007
4.097e-001	5.369e-007
4.096e-001	5.178e-007
4.095e-001	4.728e-007
4.095e-001	4.973e-007
4.094e-001	4.340e-007
4.094e-001	5.019e-007
4.093e-001	4.807e-007
4.092e-001	6.032e-007
4.090e-001	4.307e-007
4.088e-001	4.815e-007
4.088e-001	4.490e-007
4.087e-001	4.794e-007
4.086e-001	4.490e-007
4.086e-001	5.119e-007
4.085e-001	4.694e-007
4.083e-001	4.644e-007
4.081e-001	5.190e-007
4.080e-001	4.861e-007
4.080e-001	5.507e-007
4.079e-001	4.973e-007
4.078e-001	4.548e-007
4.078e-001	5.544e-007
4.077e-001	4.586e-007
4.076e-001	3.919e-007
4.074e-001	4.698e-007
4.073e-001	4.778e-007
4.072e-001	4.386e-007
4.071e-001	4.732e-007
4.070e-001	4.561e-007
4.070e-001	3.923e-007
4.069e-001	4.690e-007
4.067e-001	4.703e-007
4.065e-001	5.273e-007
4.064e-001	5.311e-007
4.064e-001	5.394e-007
4.063e-001	4.636e-007
4.062e-001	4.948e-007
4.062e-001	4.857e-007
4.061e-001	4.765e-007
4.060e-001	4.086e-007
4.058e-001	4.165e-007
4.056e-001	3.732e-007
4.056e-001	3.832e-007
4.055e-001	4.915e-007
4.054e-001	5.036e-007
4.054e-001	5.207e-007
4.054e-001	5.007e-007
4.051e-001	4.615e-007
4.049e-001	5.515e-007
4.048e-001	5.169e-007
4.048e-001	4.765e-007
4.047e-001	4.294e-007
4.046e-001	4.715e-007
4.046e-001	4.065e-007
4.045e-001	5.053e-007
4.045e-001	4.886e-007
4.043e-001	4.503e-007
4.041e-001	5.548e-007
4.040e-001	4.403e-007
4.039e-001	4.478e-007
4.038e-001	3.894e-007
4.038e-001	4.340e-007
4.037e-001	4.015e-007
4.035e-001	4.169e-007
4.033e-001	4.986e-007
4.032e-001	4.473e-007
4.032e-001	3.265e-007
4.032e-001	4.744e-007
4.031e-001	4.473e-007
4.030e-001	3.657e-007
4.029e-001	5.457e-007
4.028e-001	5.278e-007
4.027e-001	3.794e-007
4.025e-001	4.373e-007
4.024e-001	3.511e-007
4.023e-001	4.478e-007
4.023e-001	4.494e-007
4.022e-001	4.473e-007
4.021e-001	4.244e-007
4.018e-001	4.986e-007
4.017e-001	4.228e-007
4.016e-001	3.840e-007
4.016e-001	5.282e-007
4.015e-001	5.040e-007
4.014e-001	4.278e-007
4.014e-001	4.832e-007
4.012e-001	3.828e-007
4.012e-001	4.640e-007
4.010e-001	4.128e-007
4.008e-001	3.773e-007
4.008e-001	4.232e-007
4.007e-001	4.915e-007
4.007e-001	3.628e-007
4.006e-001	4.707e-007
4.005e-001	4.136e-007
4.001e-001	2.965e-007
4.001e-001	3.928e-007
