XY
	CURVE (1mkcl-nitrogen-rde-400-50mvpers.DTA)
2.566e-001	-4.139e-006
2.566e-001	-3.740e-006
2.565e-001	-3.628e-006
2.564e-001	-4.201e-006
2.563e-001	-3.646e-006
2.562e-001	-3.804e-006
2.561e-001	-4.007e-006
2.560e-001	-3.758e-006
2.558e-001	-3.772e-006
2.557e-001	-3.816e-006
2.557e-001	-4.069e-006
2.556e-001	-3.992e-006
2.555e-001	-4.136e-006
2.555e-001	-3.594e-006
2.553e-001	-3.853e-006
2.552e-001	-3.501e-006
2.551e-001	-3.836e-006
2.550e-001	-3.391e-006
2.549e-001	-4.308e-006
2.548e-001	-3.427e-006
2.547e-001	-3.996e-006
2.545e-001	-4.139e-006
2.545e-001	-3.442e-006
2.544e-001	-4.041e-006
2.543e-001	-4.007e-006
2.541e-001	-3.747e-006
2.541e-001	-4.041e-006
2.540e-001	-3.640e-006
2.539e-001	-3.731e-006
2.539e-001	-4.197e-006
2.537e-001	-3.764e-006
2.536e-001	-3.462e-006
2.535e-001	-3.874e-006
2.534e-001	-3.871e-006
2.533e-001	-4.209e-006
2.532e-001	-4.181e-006
2.531e-001	-3.890e-006
2.530e-001	-4.084e-006
2.529e-001	-3.748e-006
2.528e-001	-4.116e-006
2.527e-001	-3.952e-006
2.526e-001	-3.780e-006
2.525e-001	-3.765e-006
2.524e-001	-3.915e-006
2.523e-001	-3.956e-006
2.523e-001	-4.236e-006
2.522e-001	-3.519e-006
2.520e-001	-3.967e-006
2.519e-001	-4.093e-006
2.518e-001	-4.033e-006
2.517e-001	-3.917e-006
2.516e-001	-3.827e-006
2.516e-001	-3.606e-006
2.514e-001	-3.944e-006
2.513e-001	-3.903e-006
2.512e-001	-3.968e-006
2.511e-001	-3.831e-006
2.509e-001	-3.933e-006
2.509e-001	-3.940e-006
2.508e-001	-3.839e-006
2.507e-001	-3.767e-006
2.506e-001	-4.101e-006
2.505e-001	-4.233e-006
2.505e-001	-3.765e-006
2.503e-001	-4.036e-006
2.501e-001	-3.709e-006
2.501e-001	-3.542e-006
2.500e-001	-3.796e-006
2.499e-001	-4.115e-006
2.498e-001	-3.943e-006
2.497e-001	-3.754e-006
2.496e-001	-3.873e-006
2.494e-001	-3.971e-006
