XY					
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		
-0.553	-3.16E-04				
-0.557	-3.12E-04				
-0.561	-3.06E-04				
-0.565	-3.02E-04				
-0.569	-2.98E-04				
-0.573	-2.94E-04				
-0.577	-2.91E-04				
-0.581	-2.86E-04				
-0.585	-2.83E-04				
-0.589	-2.79E-04				
-0.593	-2.76E-04				
-0.597	-2.73E-04				
-0.601	-2.69E-04				
-0.605	-2.66E-04				
-0.609	-2.64E-04				
-0.613	-2.61E-04				
-0.617	-2.58E-04				
-0.6209	-2.55E-04				
-0.625	-2.52E-04				
-0.6289	-2.50E-04				
-0.6329	-2.48E-04				
-0.6369	-2.45E-04				
-0.641	-2.42E-04				
-0.6449	-2.40E-04				
-0.649	-2.38E-04				
-0.6529	-2.36E-04				
-0.657	-2.34E-04				
-0.6609	-2.31E-04				
-0.665	-2.30E-04				
-0.6689	-2.28E-04				
-0.6729	-2.26E-04				
-0.6766	-2.23E-04				
-0.6807	-2.21E-04				
-0.6846	-2.19E-04				
-0.6887	-2.18E-04				
-0.6926	-2.17E-04				
-0.6966	-2.15E-04				
-0.7006	-2.13E-04				
-0.7046	-2.12E-04				
-0.7086	-2.10E-04				
-0.7127	-2.09E-04				
-0.7166	-2.08E-04				
-0.7207	-2.06E-04				
-0.7246	-2.05E-04				
-0.7286	-2.04E-04				
-0.7326	-2.03E-04				
-0.7366	-2.02E-04				
-0.7406	-2.00E-04				
-0.7446	-1.99E-04				
-0.7486	-1.98E-04				
-0.7526	-1.97E-04				
-0.7566	-1.97E-04				
-0.7606	-1.95E-04				
-0.7646	-1.94E-04				
-0.7686	-1.93E-04				
-0.7726	-1.93E-04				
-0.7766	-1.92E-04				
-0.7806	-1.90E-04				
-0.7846	-1.90E-04				
-0.7886	-1.89E-04				
-0.7926	-1.88E-04				
-0.7966	-1.88E-04				
-0.8006	-1.86E-04				
-0.7966	-1.79E-04				
-0.7926	-1.74E-04				
-0.7886	-1.71E-04				
-0.7847	-1.69E-04				
-0.7806	-1.66E-04				
-0.7766	-1.64E-04				
-0.7726	-1.62E-04				
-0.7687	-1.61E-04				
-0.7646	-1.59E-04				
-0.7606	-1.57E-04				
-0.7566	-1.56E-04				
-0.7527	-1.55E-04				
-0.7486	-1.54E-04				
-0.7447	-1.53E-04				
-0.7407	-1.51E-04				
-0.7367	-1.50E-04				
-0.7326	-1.49E-04				
-0.7287	-1.48E-04				
-0.7246	-1.47E-04				
-0.7207	-1.45E-04				
-0.7167	-1.45E-04				
-0.7128	-1.44E-04				
-0.7086	-1.43E-04				
-0.7048	-1.43E-04				
-0.7006	-1.41E-04				
-0.6968	-1.40E-04				
-0.6927	-1.40E-04				
-0.6888	-1.39E-04				
-0.6847	-1.39E-04				
-0.6809	-1.37E-04				
-0.6767	-1.36E-04				
-0.6728	-1.36E-04				
-0.6687	-1.36E-04				
-0.6648	-1.35E-04				
-0.6608	-1.34E-04				
-0.6569	-1.33E-04				
-0.6527	-1.32E-04				
-0.6489	-1.32E-04				
-0.6448	-1.31E-04				
-0.6409	-1.29E-04				
-0.6368	-1.29E-04				
-0.6329	-1.28E-04				
-0.6287	-1.27E-04				
-0.6249	-1.27E-04				
-0.6208	-1.25E-04				
-0.617	-1.24E-04				
-0.6129	-1.24E-04				
-0.6089	-1.23E-04				
-0.6048	-1.23E-04				
-0.601	-1.20E-04				
-0.5969	-1.20E-04				
-0.593	-1.19E-04				
-0.5889	-1.18E-04				
-0.585	-1.17E-04				
-0.5808	-1.15E-04				
-0.577	-1.14E-04				
-0.5729	-1.13E-04				
-0.569	-1.12E-04				
-0.565	-1.11E-04				
-0.561	-1.08E-04				
-0.557	-1.07E-04				
-0.553	-1.06E-04				
-0.5489	-1.05E-04				
-0.545	-1.04E-04				
-0.541	-1.01E-04				
-0.537	-9.92E-05				
-0.533	-9.74E-05				
-0.529	-9.55E-05				
-0.525	-9.33E-05				
-0.521	-8.95E-05				
-0.517	-8.68E-05				
-0.513	-8.37E-05				
-0.509	-8.00E-05				
-0.505	-7.59E-05				
-0.5011	-6.99E-05				
-0.4971	-6.46E-05				
-0.493	-5.85E-05				
-0.4891	-5.15E-05				
-0.4851	-4.39E-05				
-0.4811	-3.39E-05				
-0.4771	-2.45E-05				
-0.4731	-1.42E-05				
-0.469	-1.91E-06				
-0.4652	9.02E-06				
-0.4613	2.21E-05				
-0.4574	3.40E-05				
-0.4532	4.87E-05				
-0.4493	6.17E-05				
