XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]
-9.404e-001	-1.243e-004		
-9.364e-001	-1.231e-004		
-9.325e-001	-1.235e-004		
-9.284e-001	-1.216e-004		
-9.244e-001	-1.205e-004		
-9.204e-001	-1.206e-004		
-9.164e-001	-1.190e-004		
-9.125e-001	-1.181e-004		
-9.085e-001	-1.176e-004		
-9.045e-001	-1.166e-004		
-9.005e-001	-1.159e-004		
-8.964e-001	-1.149e-004		
-8.925e-001	-1.143e-004		
-8.885e-001	-1.139e-004		
-8.845e-001	-1.126e-004		
-8.805e-001	-1.119e-004		
-8.764e-001	-1.121e-004		
-8.724e-001	-1.101e-004		
-8.685e-001	-1.095e-004		
-8.645e-001	-1.105e-004		
-8.604e-001	-1.079e-004		
-8.565e-001	-1.073e-004		
-8.525e-001	-1.089e-004		
-8.485e-001	-1.059e-004		
-8.445e-001	-1.053e-004		
-8.405e-001	-1.070e-004		
-8.365e-001	-1.041e-004		
-8.325e-001	-1.032e-004		
-8.285e-001	-1.049e-004		
-8.245e-001	-1.021e-004		
-8.205e-001	-1.010e-004		
-8.166e-001	-1.023e-004		
-8.126e-001	-9.950e-005		
-8.085e-001	-9.834e-005		
-8.047e-001	-9.907e-005		
-8.006e-001	-9.666e-005		
-7.966e-001	-9.534e-005		
-7.926e-001	-9.540e-005		
-7.886e-001	-9.338e-005		
-7.846e-001	-9.196e-005		
-7.806e-001	-9.134e-005		
-7.766e-001	-8.956e-005		
-7.726e-001	-8.805e-005		
-7.686e-001	-8.665e-005		
-7.647e-001	-8.500e-005		
-7.606e-001	-8.348e-005		
-7.566e-001	-8.134e-005		
-7.525e-001	-7.955e-005		
-7.486e-001	-7.819e-005		
-7.445e-001	-7.532e-005		
-7.406e-001	-7.329e-005		
-7.366e-001	-7.207e-005		
-7.326e-001	-6.827e-005		
-7.285e-001	-6.576e-005		
-7.246e-001	-6.479e-005		
-7.206e-001	-5.985e-005		
-7.167e-001	-5.677e-005		
-7.126e-001	-5.575e-005		
-7.087e-001	-4.991e-005		
-7.046e-001	-4.582e-005		
-7.007e-001	-4.422e-005		
-6.966e-001	-3.743e-005		
-6.927e-001	-3.226e-005		
-6.886e-001	-2.917e-005		
-6.847e-001	-2.112e-005		
-6.807e-001	-1.442e-005		
-6.768e-001	-9.005e-006		
-6.727e-001	7.442e-007		
-6.688e-001	9.996e-006		
-6.648e-001	1.863e-005		
-6.608e-001	3.107e-005		
-6.568e-001	4.390e-005		
-6.528e-001	5.687e-005		
-6.488e-001	7.307e-005		
-6.449e-001	9.043e-005		
-6.409e-001	1.086e-004		
-6.369e-001	1.301e-004		
-6.329e-001	1.517e-004		
-6.289e-001	1.745e-004		
-6.250e-001	1.984e-004		
-6.210e-001	2.224e-004		
-6.170e-001	2.464e-004		
-6.131e-001	2.692e-004		
-6.091e-001	2.894e-004		
-6.048e-001	3.110e-004		
-6.008e-001	3.259e-004		
-5.968e-001	3.358e-004		
-5.928e-001	3.447e-004		
-5.888e-001	3.485e-004		
-5.848e-001	3.469e-004		
-5.808e-001	3.460e-004		
-5.768e-001	3.410e-004		
-5.728e-001	3.313e-004		
-5.688e-001	3.247e-004		
-5.648e-001	3.154e-004		
-5.608e-001	3.027e-004		
-5.568e-001	2.944e-004		
-5.528e-001	2.842e-004		
-5.488e-001	2.717e-004		
-5.448e-001	2.638e-004		
-5.408e-001	2.544e-004		
-5.369e-001	2.435e-004		
-5.331e-001	2.369e-004		
-5.291e-001	2.292e-004		
-5.251e-001	2.200e-004		
-5.211e-001	2.139e-004		
-5.171e-001	2.073e-004		
-5.130e-001	1.999e-004		
-5.091e-001	1.944e-004		
-5.050e-001	1.888e-004		
-5.010e-001	1.829e-004		
-4.971e-001	1.782e-004		
-4.931e-001	1.732e-004		
-4.890e-001	1.687e-004		
-4.850e-001	1.643e-004		
-4.810e-001	1.597e-004		
-4.770e-001	1.565e-004		
-4.730e-001	1.526e-004		
-4.690e-001	1.481e-004		
-4.650e-001	1.460e-004		
-4.610e-001	1.426e-004		
-4.570e-001	1.380e-004		
-4.530e-001	1.369e-004		
-4.490e-001	1.340e-004		
-4.450e-001	1.291e-004		
-4.410e-001	1.289e-004		
-4.370e-001	1.264e-004		
-4.330e-001	1.215e-004		
-4.290e-001	1.216e-004		
-4.250e-001	1.197e-004		
-4.210e-001	1.152e-004		
-4.170e-001	1.152e-004		
-4.130e-001	1.135e-004		
-4.091e-001	1.096e-004		
-4.050e-001	1.096e-004		
-4.011e-001	1.080e-004		
-3.970e-001	1.047e-004		
-3.930e-001	1.044e-004		
-3.890e-001	1.031e-004		
-3.850e-001	1.003e-004		
-3.810e-001	9.981e-005		
-3.770e-001	9.851e-005		
-3.730e-001	9.631e-005		
-3.690e-001	9.558e-005		
-3.650e-001	9.441e-005		
-3.610e-001	9.289e-005		
-3.570e-001	9.188e-005		
-3.530e-001	9.052e-005		
-3.490e-001	8.964e-005		
-3.450e-001	8.847e-005		
-3.410e-001	8.689e-005		
-3.370e-001	8.658e-005		
-3.330e-001	8.548e-005		
-3.290e-001	8.329e-005		
-3.250e-001	8.377e-005		
-3.210e-001	8.268e-005		
-3.170e-001	8.006e-005		
-3.130e-001	8.118e-005		
-3.090e-001	8.022e-005		
-3.050e-001	7.714e-005		
-3.010e-001	7.856e-005		
-2.970e-001	7.782e-005		
-2.930e-001	7.448e-005		
-2.890e-001	7.595e-005		
-2.850e-001	7.543e-005		
-2.810e-001	7.225e-005		
-2.770e-001	7.363e-005		
-2.730e-001	7.308e-005		
-2.690e-001	7.034e-005		
-2.650e-001	7.137e-005		
-2.610e-001	7.077e-005		
-2.570e-001	6.859e-005		
-2.530e-001	6.908e-005		
-2.490e-001	6.863e-005		
-2.450e-001	6.689e-005		
-2.410e-001	6.708e-005		
-2.370e-001	6.654e-005		
-2.330e-001	6.533e-005		
-2.290e-001	6.515e-005		
-2.250e-001	6.466e-005		
-2.210e-001	6.398e-005		
-2.170e-001	6.348e-005		
-2.130e-001	6.272e-005		
-2.090e-001	6.257e-005		
-2.050e-001	6.197e-005		
-2.010e-001	6.080e-005		
-1.970e-001	6.128e-005		
-1.930e-001	6.075e-005		
-1.891e-001	5.890e-005		
-1.850e-001	6.003e-005		
-1.810e-001	5.957e-005		
-1.771e-001	5.719e-005		
-1.731e-001	5.882e-005		
-1.690e-001	5.845e-005		
-1.651e-001	5.570e-005		
-1.611e-001	5.753e-005		
-1.570e-001	5.736e-005		
-1.530e-001	5.434e-005		
-1.490e-001	5.617e-005		
-1.450e-001	5.598e-005		
-1.410e-001	5.338e-005		
-1.370e-001	5.494e-005		
-1.330e-001	5.472e-005		
-1.290e-001	5.247e-005		
-1.250e-001	5.368e-005		
-1.210e-001	5.341e-005		
-1.170e-001	5.165e-005		
-1.130e-001	5.231e-005		
-1.091e-001	5.218e-005		
-1.050e-001	5.082e-005		
-1.011e-001	5.112e-005		
-9.708e-002	5.088e-005		
-9.307e-002	4.999e-005		
-8.906e-002	4.999e-005		
-8.507e-002	4.952e-005		
-8.107e-002	4.928e-005		
-7.705e-002	4.883e-005		
-7.309e-002	4.813e-005		
-6.908e-002	4.836e-005		
-6.506e-002	4.795e-005		
-6.107e-002	4.667e-005		
-5.710e-002	4.758e-005		
-5.306e-002	4.712e-005		
-4.909e-002	4.528e-005		
-4.509e-002	4.679e-005		
-4.109e-002	4.645e-005		
-3.705e-002	4.401e-005		
-3.306e-002	4.598e-005		
-2.906e-002	4.569e-005		
-2.504e-002	4.295e-005		
-2.107e-002	4.494e-005		
-1.706e-002	4.488e-005		
-1.306e-002	4.210e-005		
-9.075e-003	4.395e-005		
-5.076e-003	4.390e-005		
-1.061e-003	4.141e-005		
2.936e-003	4.301e-005		
6.936e-003	4.286e-005		
1.095e-002	4.091e-005		
1.491e-002	4.203e-005		
1.891e-002	4.198e-005		
2.294e-002	4.035e-005		
2.692e-002	4.092e-005		
3.094e-002	4.088e-005		
3.492e-002	3.977e-005		
3.891e-002	4.005e-005		
4.290e-002	3.981e-005		
4.694e-002	3.932e-005		
5.093e-002	3.924e-005		
5.490e-002	3.883e-005		
5.892e-002	3.883e-005		
6.291e-002	3.848e-005		
6.692e-002	3.773e-005		
7.092e-002	3.820e-005		
7.489e-002	3.790e-005		
7.890e-002	3.654e-005		
8.291e-002	3.780e-005		
8.693e-002	3.739e-005		
9.090e-002	3.546e-005		
9.491e-002	3.727e-005		
9.893e-002	3.704e-005		
1.029e-001	3.454e-005		
1.069e-001	3.662e-005		
1.109e-001	3.650e-005		
1.149e-001	3.378e-005		
1.189e-001	3.592e-005		
1.229e-001	3.593e-005		
1.269e-001	3.330e-005		
