XY	
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-300mvps.DTA)[BKS]
-4.85E-01	-2.93E-05
-4.81E-01	-2.34E-05
-4.77E-01	-1.89E-05
-4.73E-01	-1.19E-05
-4.69E-01	-6.99E-06
-4.65E-01	-7.79E-07
-4.61E-01	8.72E-06
-4.57E-01	1.74E-05
-4.53E-01	2.78E-05
-4.50E-01	3.71E-05
-4.45E-01	5.26E-05
-4.41E-01	6.88E-05
-4.37E-01	8.44E-05
-4.33E-01	1.02E-04
-4.29E-01	1.19E-04
-4.25E-01	1.36E-04
-4.22E-01	1.55E-04
-4.18E-01	1.72E-04
-4.14E-01	1.87E-04
-4.10E-01	1.99E-04
-4.06E-01	2.08E-04
-4.02E-01	2.17E-04
-3.98E-01	2.21E-04
-3.94E-01	2.23E-04
-3.90E-01	2.22E-04
-3.86E-01	2.18E-04
-3.82E-01	2.16E-04
-3.78E-01	2.11E-04
-3.74E-01	2.05E-04
-3.70E-01	1.98E-04
-3.66E-01	1.90E-04
-3.62E-01	1.85E-04
-3.58E-01	1.78E-04
-3.54E-01	1.72E-04
-3.50E-01	1.65E-04
-3.46E-01	1.58E-04
-3.42E-01	1.54E-04
-3.38E-01	1.48E-04
-3.34E-01	1.43E-04
-3.30E-01	1.37E-04
-3.26E-01	1.32E-04
-3.22E-01	1.29E-04
-3.18E-01	1.25E-04
-3.14E-01	1.22E-04
-3.10E-01	1.17E-04
-3.06E-01	1.13E-04
-3.02E-01	1.11E-04
-2.98E-01	1.08E-04
-2.94E-01	1.06E-04
-2.90E-01	1.02E-04
-2.86E-01	9.85E-05
-2.82E-01	9.78E-05
-2.78E-01	9.52E-05
-2.74E-01	9.34E-05
-2.70E-01	9.03E-05
-2.66E-01	8.74E-05
-2.62E-01	8.73E-05
-2.58E-01	8.52E-05
-2.54E-01	8.39E-05
-2.50E-01	8.12E-05
-2.46E-01	7.87E-05
-2.42E-01	7.89E-05
-2.38E-01	7.72E-05
-2.34E-01	7.61E-05
-2.30E-01	7.37E-05
-2.26E-01	7.16E-05
-2.22E-01	7.21E-05
-2.18E-01	7.06E-05
-2.14E-01	6.99E-05
-2.10E-01	6.77E-05
-2.06E-01	6.58E-05
-2.02E-01	6.66E-05
-1.98E-01	6.53E-05
-1.94E-01	6.47E-05
-1.90E-01	6.27E-05
-1.86E-01	6.10E-05
-1.82E-01	6.19E-05
-1.78E-01	6.07E-05
-1.74E-01	6.03E-05
-1.70E-01	5.84E-05
-1.66E-01	5.68E-05
-1.62E-01	5.78E-05
-1.58E-01	5.68E-05
-1.54E-01	5.64E-05
-1.50E-01	5.47E-05
-1.46E-01	5.32E-05
-1.42E-01	5.42E-05
-1.38E-01	5.33E-05
-1.34E-01	5.30E-05
-1.30E-01	5.13E-05
-1.26E-01	4.99E-05
-1.22E-01	5.10E-05
-1.18E-01	5.01E-05
-1.14E-01	4.99E-05
-1.10E-01	4.83E-05
-1.06E-01	4.69E-05
-1.02E-01	4.81E-05
-9.76E-02	4.73E-05
-9.37E-02	4.71E-05
-8.96E-02	4.55E-05
-8.57E-02	4.43E-05
-8.16E-02	4.55E-05
-7.77E-02	4.47E-05
-7.36E-02	4.46E-05
-6.96E-02	4.31E-05
-6.56E-02	4.19E-05
-6.17E-02	4.32E-05
-5.76E-02	4.25E-05
-5.37E-02	4.24E-05
-4.96E-02	4.09E-05
-4.56E-02	3.98E-05
-4.16E-02	4.12E-05
-3.77E-02	4.05E-05
-3.36E-02	4.05E-05
-2.97E-02	3.90E-05
-2.56E-02	3.80E-05
-2.17E-02	3.94E-05
-1.76E-02	3.87E-05
-1.37E-02	3.88E-05
-9.60E-03	3.73E-05
-5.70E-03	3.63E-05
-1.70E-03	3.77E-05
2.30E-03	3.71E-05
6.30E-03	3.72E-05
1.02E-02	3.58E-05
1.44E-02	3.48E-05
1.83E-02	3.62E-05
2.23E-02	3.56E-05
2.63E-02	3.57E-05
3.03E-02	3.43E-05
3.42E-02	3.34E-05
3.83E-02	3.48E-05
4.23E-02	3.43E-05
4.63E-02	3.44E-05
5.02E-02	3.30E-05
5.43E-02	3.21E-05
5.83E-02	3.36E-05
6.23E-02	3.30E-05
6.62E-02	3.31E-05
7.03E-02	3.17E-05
7.42E-02	3.09E-05
7.83E-02	3.24E-05
8.22E-02	3.19E-05
8.63E-02	3.20E-05
9.02E-02	3.07E-05
9.43E-02	2.98E-05
9.82E-02	3.13E-05
1.02E-01	3.07E-05
1.06E-01	3.09E-05
1.10E-01	2.95E-05
1.14E-01	2.86E-05
1.18E-01	3.01E-05
1.22E-01	2.96E-05
